iter	Passed	Remaining
0	1	129
1	2	124
2	3	119
3	4	113
4	5	110
5	6	107
6	7	105
7	9	103
8	9	100
9	11	100
10	12	97
11	13	95
12	13	93
13	15	92
14	16	91
15	17	89
16	18	88
17	19	87
18	19	85
19	21	84
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	77
28	30	75
29	32	74
30	33	73
31	34	73
32	35	72
33	36	71
34	37	70
35	38	68
36	40	68
37	41	67
38	42	66
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	48	58
45	49	57
46	49	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	90	17
84	91	16
85	92	15
86	93	13
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	107	2
98	108	1
99	109	0
